Predicate,Reading,Predicate Group
写る,うつる,GODAN
凍る,こおる,GODAN
凝る,こごる,GODAN
出来上がる,できあがる,GODAN
分かる,わかる,GODAN
刺さる,ささる,GODAN
加わる,くわわる,GODAN
劣る,おとる,GODAN
助かる,たすかる,GODAN
勝る,まさる,GODAN
募る,つのる,GODAN
去る,さる,GODAN
参る,まいる,GODAN
収まる,おさまる,GODAN
受かる,うかる,GODAN
唸る,うなる,GODAN
喋る,しゃべる,GODAN
囀る,さえずる,GODAN
回る,まわる,GODAN
因る,よる,GODAN
困る,こまる,GODAN
固まる,かたまる,GODAN
埋まる,うまる,GODAN
塞がる,ふさがる,GODAN
変わる,かわる,GODAN
太る,ふとる,GODAN
始まる,はじまる,GODAN
威張る,いばる,GODAN
定まる,さだまる,GODAN
実る,みのる,GODAN
寄り掛かる,よりかかる,GODAN
寄る,よる,GODAN
尖る,とがる,GODAN
嵌まる,はまる,GODAN
嵩張る,かさばる,GODAN
巡る,めぐる,GODAN
差し掛かる,さしかかる,GODAN
帰る,かえる,GODAN
広がる,ひろがる,GODAN
広まる,ひろまる,GODAN
座る,すわる,GODAN
引っ掛かる,ひっかかる,GODAN
引っ繰り返る,ひっくりかえる,GODAN
弱まる,よわまる,GODAN
弱る,よわる,GODAN
強まる,つよまる,GODAN
当たる,あたる,GODAN
当てはまる,あてはまる,GODAN
怒る,おこる,GODAN
怒鳴る,どなる,GODAN
恐れ入る,おそれいる,GODAN
成る,なる,GODAN
戻る,もどる,GODAN
打つかる,ぶつかる,GODAN
拘わる,こだわる,GODAN
挟まる,はさまる,GODAN
振り返る,ふりかえる,GODAN
捕まる,つかまる,GODAN
捗る,はかどる,GODAN
掛かる,かかる,GODAN
携わる,たずさわる,GODAN
散らかる,ちらかる,GODAN
散る,ちる,GODAN
早まる,はやまる,GODAN
映る,うつる,GODAN
曇る,くもる,GODAN
曲がる,まがる,GODAN
染まる,そまる,GODAN
植わる,うわる,GODAN
極まる,きわまる,GODAN
残る,のこる,GODAN
決まる,きまる,GODAN
治まる,おさまる,GODAN
治る,なおる,GODAN
泊まる,とまる,GODAN
流行る,はやる,GODAN
深まる,ふかまる,GODAN
減る,へる,GODAN
渡る,わたる,GODAN
温まる,あたたまる,GODAN
湿る,しめる,GODAN
溜まる,たまる,GODAN
滑る,すべる,GODAN
滞る,とどこおる,GODAN
漏る,もる,GODAN
潜る,もぐる,GODAN
潜る,くぐる,GODAN
濁る,にごる,GODAN
無くなる,なくなる,GODAN
焦る,あせる,GODAN
煙る,けむる,GODAN
照る,てる,GODAN
生る,なる,GODAN
甦る,よみがえる,GODAN
異なる,ことなる,GODAN
盛り上がる,もりあがる,GODAN
眠る,ねむる,GODAN
移る,うつる,GODAN
積もる,つもる,GODAN
突き当たる,つきあたる,GODAN
